feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2234710,1000002564,60922,4,"It was okay, nothing special.",Delivery,Neutral,2023-11-21
5450964,1000000312,98754,3,The order was incorrect.,App Experience,Negative,2023-08-31
482108,1000014118,26887,3,"It was okay, nothing special.",App Experience,Neutral,2024-08-25
4823104,1000019971,71562,4,The product met my expectations.,App Experience,Neutral,2024-02-08
3537464,1000016855,76651,3,Product was damaged during delivery.,Delivery,Negative,2023-03-31
4089724,1000001670,14112,2,Product was damaged during delivery.,Customer Service,Negative,2023-07-27
230696,1000009333,22190,4,Highly recommended!,Product Quality,Positive,2024-06-01
2259308,1000012868,45749,2,I had a bad experience.,App Experience,Negative,2023-11-07
7380970,1000016450,37992,3,Product was damaged during delivery.,Delivery,Negative,2023-10-28
2257242,1000008254,11284,3,The product met my expectations.,App Experience,Neutral,2024-05-28
1837573,1000013647,76532,2,Taste was not as expected.,Delivery,Negative,2023-07-31
258023,1000013113,46466,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-06-01
3081099,1000002999,95878,4,The product met my expectations.,Customer Service,Neutral,2023-06-14
3158837,1000012648,59301,5,Highly recommended!,App Experience,Positive,2024-02-19
9465932,1000007318,33167,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-05-06
8111644,1000002484,87658,4,"Overall good experience, thank you!",Customer Service,Positive,2024-04-26
121425,1000010734,56784,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-11-24
8267419,1000014348,59748,4,"Average experience, could improve.",Delivery,Neutral,2023-05-05
7168244,1000019488,46737,1,Product was damaged during delivery.,Delivery,Negative,2023-07-10
2482108,1000016836,83660,3,Not worth the price I paid.,Customer Service,Negative,2023-10-24
3769939,1000014848,78224,2,Items were missing from my order.,Product Quality,Negative,2023-11-10
9592296,1000014682,99658,2,Customer service was not helpful.,Product Quality,Negative,2024-05-24
1592958,1000002243,90954,5,"Overall good experience, thank you!",Delivery,Positive,2024-02-26
2088819,1000009251,18426,3,"It was okay, nothing special.",Delivery,Neutral,2023-12-14
3567003,1000011656,91614,2,I had a bad experience.,App Experience,Negative,2023-11-15
2903160,1000016140,64343,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-03-24
7511717,1000018986,88556,3,The product met my expectations.,Customer Service,Neutral,2024-05-01
1055307,1000001928,20962,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-02-09
1477592,1000008707,92303,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-06-10
7898352,1000004241,66215,3,I had a bad experience.,Product Quality,Negative,2023-11-05
8804364,1000012716,53041,3,The product met my expectations.,Delivery,Neutral,2024-08-05
1208337,1000012828,10759,4,The product met my expectations.,Customer Service,Neutral,2023-07-15
4382390,1000011462,72392,4,Great prices and fast delivery!,App Experience,Positive,2023-10-26
4858018,1000013898,44118,4,"Overall good experience, thank you!",Customer Service,Positive,2024-08-31
