date,channel,spend,impressions
2023-03-16,SMS,1943.83,22282
2023-03-16,Email,375.29,5732
2023-03-16,Facebook,5252.65,22499
2023-03-16,App Notification,289.97,7530
2023-03-16,Google Ads,5933.4,16175
2023-03-16,Instagram,4876.22,34553
2023-03-17,SMS,1279.85,14564
2023-03-17,Email,772.75,14395
2023-03-17,Facebook,4895.68,17856
2023-03-17,App Notification,375.4,11005
2023-03-17,Google Ads,6070.85,16782
2023-03-17,Instagram,5606.71,28589
2023-03-18,SMS,1014.94,8853
2023-03-18,Email,528.72,12018
2023-03-18,Facebook,6732.88,29250
2023-03-18,App Notification,190.21,5517
2023-03-18,Google Ads,5003.16,20073
2023-03-18,Instagram,3889.94,17995
2023-03-19,SMS,2712.16,29343
2023-03-19,Email,674.38,13338
2023-03-19,Facebook,4571.21,26717
2023-03-19,App Notification,226.22,6616
2023-03-19,Google Ads,8902.62,36311
2023-03-19,Instagram,4076.33,25909
2023-03-20,SMS,1665.52,16447
2023-03-20,Email,394.02,9651
2023-03-20,Facebook,5535.61,21793
2023-03-20,App Notification,201.34,5634
2023-03-20,Google Ads,4523.37,15387
2023-03-20,Instagram,3067.97,17399
2023-03-21,SMS,2217.68,25950
2023-03-21,Email,206.51,3479
2023-03-21,Facebook,5952.75,25802
2023-03-21,App Notification,115.4,2495
2023-03-21,Google Ads,5056.5,13540
2023-03-21,Instagram,3980.03,28819
2023-03-22,SMS,2678.53,25699
2023-03-22,Email,374.02,6338
2023-03-22,Facebook,4907.31,28119
2023-03-22,App Notification,292.68,7190
2023-03-22,Google Ads,4673.87,19079
2023-03-22,Instagram,3577.72,24420
2023-03-23,SMS,1999.92,21152
2023-03-23,Email,356.94,6829
2023-03-23,Facebook,5115.4,28962
2023-03-23,App Notification,233.7,6020
2023-03-23,Google Ads,5076.52,13883
2023-03-23,Instagram,5682.65,30671
2023-03-24,SMS,2372.86,27799
2023-03-24,Email,675.95,14914
2023-03-24,Facebook,5217.98,29661
2023-03-24,App Notification,352.14,9803
2023-03-24,Google Ads,6251.65,20156
2023-03-24,Instagram,4682.51,24391
2023-03-25,SMS,2476.73,23127
2023-03-25,Email,635.55,11242
2023-03-25,Facebook,4449.92,26145
2023-03-25,App Notification,318.26,6670
2023-03-25,Google Ads,8596.67,36693
2023-03-25,Instagram,3408.04,20889
2023-03-26,SMS,1211.84,10960
2023-03-26,Email,219.56,3960
2023-03-26,Facebook,6206.17,30362
2023-03-26,App Notification,328.28,8798
2023-03-26,Google Ads,4542.76,17880
2023-03-26,Instagram,5152.94,30045
2023-03-27,SMS,2913.97,26022
2023-03-27,Email,414.56,9429
2023-03-27,Facebook,6957.47,35345
2023-03-27,App Notification,267.02,6089
2023-03-27,Google Ads,4621.53,15837
2023-03-27,Instagram,4093.92,29373
2023-03-28,SMS,1989.97,20990
2023-03-28,Email,285.55,4703
2023-03-28,Facebook,3931.61,18868
2023-03-28,App Notification,341.67,7023
2023-03-28,Google Ads,7398.06,22994
2023-03-28,Instagram,3383.17,25353
2023-03-29,SMS,1090.25,10786
2023-03-29,Email,782.36,16947
2023-03-29,Facebook,3738.47,17202
2023-03-29,App Notification,241.72,6461
2023-03-29,Google Ads,4268.96,12059
2023-03-29,Instagram,5487.89,28526
2023-03-30,SMS,2031.52,21292
2023-03-30,Email,620.28,13090
2023-03-30,Facebook,5558.62,27579
2023-03-30,App Notification,348.78,7399
2023-03-30,Google Ads,4469.18,18936
2023-03-30,Instagram,2640.51,14233
2023-03-31,SMS,2542.89,29206
2023-03-31,Email,703.0,10700
2023-03-31,Facebook,5988.84,35741
2023-03-31,App Notification,365.12,7704
2023-03-31,Google Ads,8290.53,28958
2023-03-31,Instagram,4975.27,27054
2023-04-01,SMS,1812.66,19528
2023-04-01,Email,374.99,6130
2023-04-01,Facebook,3985.01,21913
2023-04-01,App Notification,301.16,6613
2023-04-01,Google Ads,8201.51,23694
2023-04-01,Instagram,5519.46,32928
2023-04-02,SMS,1205.16,14108
2023-04-02,Email,756.83,16711
2023-04-02,Facebook,3487.0,15419
2023-04-02,App Notification,306.94,6486
2023-04-02,Google Ads,5173.61,22986
2023-04-02,Instagram,2679.75,16024
2023-04-03,SMS,1740.19,18230
2023-04-03,Email,585.84,8974
2023-04-03,Facebook,4696.04,20246
2023-04-03,App Notification,395.75,9025
2023-04-03,Google Ads,8059.42,33435
2023-04-03,Instagram,5796.79,27761
2023-04-04,SMS,2748.54,30188
2023-04-04,Email,667.56,11555
2023-04-04,Facebook,3930.02,23326
2023-04-04,App Notification,171.79,4132
2023-04-04,Google Ads,5680.2,23580
2023-04-04,Instagram,4685.54,25227
2023-04-05,SMS,2172.47,19494
2023-04-05,Email,389.94,9067
2023-04-05,Facebook,5994.73,31526
2023-04-05,App Notification,371.77,8215
2023-04-05,Google Ads,4367.19,14125
2023-04-05,Instagram,5814.92,42105
2023-04-06,SMS,2053.18,22846
2023-04-06,Email,647.96,11621
2023-04-06,Facebook,4372.67,15895
2023-04-06,App Notification,335.96,9558
2023-04-06,Google Ads,7969.71,23934
2023-04-06,Instagram,5419.08,26189
2023-04-07,SMS,1794.43,19861
2023-04-07,Email,483.35,9401
2023-04-07,Facebook,3933.65,21703
2023-04-07,App Notification,247.2,5357
2023-04-07,Google Ads,4572.26,13267
2023-04-07,Instagram,5566.13,35177
2023-04-08,SMS,1285.44,11224
2023-04-08,Email,774.39,15496
2023-04-08,Facebook,6349.82,36683
2023-04-08,App Notification,173.3,4630
2023-04-08,Google Ads,6082.23,20528
2023-04-08,Instagram,5011.24,23729
2023-04-09,SMS,1013.67,11929
2023-04-09,Email,648.21,14762
2023-04-09,Facebook,3376.34,18134
2023-04-09,App Notification,355.32,8224
2023-04-09,Google Ads,5031.08,22173
2023-04-09,Instagram,5188.34,32571
2023-04-10,SMS,1713.98,14235
2023-04-10,Email,575.77,13665
2023-04-10,Facebook,6163.52,27129
2023-04-10,App Notification,232.77,5870
2023-04-10,Google Ads,4177.9,14187
2023-04-10,Instagram,2686.96,18398
2023-04-11,SMS,1383.36,13538
2023-04-11,Email,622.4,15160
2023-04-11,Facebook,6993.34,25512
2023-04-11,App Notification,162.21,3818
2023-04-11,Google Ads,7993.4,25243
2023-04-11,Instagram,2899.24,14401
2023-04-12,SMS,1653.03,17088
2023-04-12,Email,452.83,10540
2023-04-12,Facebook,4222.08,18381
2023-04-12,App Notification,142.43,3534
2023-04-12,Google Ads,4961.3,22238
2023-04-12,Instagram,3887.46,26976
2023-04-13,SMS,1926.08,20993
2023-04-13,Email,409.14,9889
2023-04-13,Facebook,3899.94,19268
2023-04-13,App Notification,326.62,7011
2023-04-13,Google Ads,5901.82,24473
2023-04-13,Instagram,3896.17,28662
